37	81	1
10.000	0.100	0.000
-1.700E+2	2.800E+0	0.000E+0	4.020E-2
-1.700E+2	2.900E+0	0.000E+0	4.032E-2
-1.700E+2	3.000E+0	0.000E+0	2.997E-2
-1.700E+2	3.100E+0	0.000E+0	4.212E-2
-1.700E+2	3.200E+0	0.000E+0	4.440E-2
-1.700E+2	3.300E+0	0.000E+0	4.066E-2
-1.700E+2	3.400E+0	0.000E+0	4.078E-2
-1.700E+2	3.500E+0	0.000E+0	4.366E-2
-1.700E+2	3.600E+0	0.000E+0	3.497E-2
-1.700E+2	3.700E+0	0.000E+0	2.622E-2
-1.700E+2	3.800E+0	0.000E+0	2.921E-2
-1.700E+2	3.900E+0	0.000E+0	4.426E-2
-1.700E+2	4.000E+0	0.000E+0	3.463E-2
-1.600E+2	-4.000E+0	0.000E+0	3.377E-2
-1.600E+2	-3.900E+0	0.000E+0	4.108E-2
-1.600E+2	-3.800E+0	0.000E+0	3.350E-2
-1.600E+2	-3.700E+0	0.000E+0	2.763E-2
-1.600E+2	-3.600E+0	0.000E+0	2.526E-2
-1.600E+2	-3.500E+0	0.000E+0	2.470E-2
-1.600E+2	-3.400E+0	0.000E+0	2.923E-2
-1.600E+2	-3.300E+0	0.000E+0	3.463E-2
-1.600E+2	-3.200E+0	0.000E+0	3.831E-2
-1.600E+2	-3.100E+0	0.000E+0	4.044E-2
-1.600E+2	-3.000E+0	0.000E+0	4.049E-2
-1.600E+2	-2.900E+0	0.000E+0	4.065E-2
-1.600E+2	-2.800E+0	0.000E+0	4.074E-2
-1.600E+2	-2.700E+0	0.000E+0	4.722E-2
-1.600E+2	-2.600E+0	0.000E+0	5.714E-2
-1.600E+2	-2.500E+0	0.000E+0	6.259E-2
-1.600E+2	-2.400E+0	0.000E+0	6.755E-2
-1.600E+2	-2.300E+0	0.000E+0	7.409E-2
-1.600E+2	-2.200E+0	0.000E+0	6.810E-2
-1.600E+2	-2.100E+0	0.000E+0	5.835E-2
-1.600E+2	-2.000E+0	0.000E+0	5.248E-2
-1.600E+2	-1.900E+0	0.000E+0	4.432E-2
-1.600E+2	-1.800E+0	0.000E+0	4.471E-2
-1.600E+2	-1.700E+0	0.000E+0	5.839E-2
-1.600E+2	-1.600E+0	0.000E+0	6.684E-2
-1.600E+2	-1.500E+0	0.000E+0	6.791E-2
-1.600E+2	-1.400E+0	0.000E+0	7.109E-2
-1.600E+2	-1.300E+0	0.000E+0	6.533E-2
-1.600E+2	-1.200E+0	0.000E+0	5.723E-2
-1.600E+2	-1.100E+0	0.000E+0	6.008E-2
-1.600E+2	-1.000E+0	0.000E+0	6.605E-2
-1.600E+2	-9.000E-1	0.000E+0	7.449E-2
-1.600E+2	-8.000E-1	0.000E+0	8.730E-2
-1.600E+2	-7.000E-1	0.000E+0	9.774E-2
-1.600E+2	-6.000E-1	0.000E+0	1.040E-1
-1.600E+2	-5.000E-1	0.000E+0	1.079E-1
-1.600E+2	-4.000E-1	0.000E+0	1.111E-1
-1.600E+2	-3.000E-1	0.000E+0	1.104E-1
-1.600E+2	-2.000E-1	0.000E+0	1.068E-1
-1.600E+2	-1.000E-1	0.000E+0	1.033E-1
-1.600E+2	0.000E+0	0.000E+0	1.011E-1
-1.600E+2	1.000E-1	0.000E+0	1.005E-1
-1.600E+2	2.000E-1	0.000E+0	9.792E-2
-1.600E+2	3.000E-1	0.000E+0	9.330E-2
-1.600E+2	4.000E-1	0.000E+0	8.647E-2
-1.600E+2	5.000E-1	0.000E+0	7.332E-2
-1.600E+2	6.000E-1	0.000E+0	6.274E-2
-1.600E+2	7.000E-1	0.000E+0	4.965E-2
-1.600E+2	8.000E-1	0.000E+0	3.970E-2
-1.600E+2	9.000E-1	0.000E+0	2.959E-2
-1.600E+2	1.000E+0	0.000E+0	3.567E-2
-1.600E+2	1.100E+0	0.000E+0	3.034E-2
-1.600E+2	1.200E+0	0.000E+0	3.013E-2
-1.600E+2	1.300E+0	0.000E+0	3.398E-2
-1.600E+2	1.400E+0	0.000E+0	3.472E-2
-1.600E+2	1.500E+0	0.000E+0	3.421E-2
-1.600E+2	1.600E+0	0.000E+0	3.316E-2
-1.600E+2	1.700E+0	0.000E+0	3.909E-2
-1.600E+2	1.800E+0	0.000E+0	4.189E-2
-1.600E+2	1.900E+0	0.000E+0	4.292E-2
-1.600E+2	2.000E+0	0.000E+0	4.587E-2
-1.600E+2	2.100E+0	0.000E+0	5.289E-2
-1.600E+2	2.200E+0	0.000E+0	5.477E-2
-1.600E+2	2.300E+0	0.000E+0	5.303E-2
-1.600E+2	2.400E+0	0.000E+0	5.067E-2
-1.600E+2	2.500E+0	0.000E+0	5.477E-2
-1.600E+2	2.600E+0	0.000E+0	5.246E-2
-1.600E+2	2.700E+0	0.000E+0	4.511E-2
-1.600E+2	2.800E+0	0.000E+0	4.331E-2
-1.600E+2	2.900E+0	0.000E+0	4.167E-2
-1.600E+2	3.000E+0	0.000E+0	4.074E-2
-1.600E+2	3.100E+0	0.000E+0	3.236E-2
