37	81	1
10.000	0.100	0.000
-1.700E+2	2.400E+0	0.000E+0	3.891E-2
-1.700E+2	2.500E+0	0.000E+0	4.393E-2
-1.700E+2	2.600E+0	0.000E+0	5.032E-2
-1.700E+2	2.700E+0	0.000E+0	5.360E-2
-1.700E+2	2.800E+0	0.000E+0	5.335E-2
-1.700E+2	2.900E+0	0.000E+0	5.244E-2
-1.700E+2	3.000E+0	0.000E+0	5.168E-2
-1.700E+2	3.100E+0	0.000E+0	4.763E-2
-1.700E+2	3.200E+0	0.000E+0	4.238E-2
-1.700E+2	3.300E+0	0.000E+0	4.032E-2
-1.700E+2	3.400E+0	0.000E+0	3.802E-2
-1.700E+2	3.500E+0	0.000E+0	3.476E-2
-1.700E+2	3.600E+0	0.000E+0	3.053E-2
-1.700E+2	3.700E+0	0.000E+0	3.317E-2
-1.700E+2	3.800E+0	0.000E+0	2.556E-2
-1.700E+2	3.900E+0	0.000E+0	2.187E-2
-1.700E+2	4.000E+0	0.000E+0	2.209E-2
-1.600E+2	-4.000E+0	0.000E+0	2.752E-2
-1.600E+2	-3.900E+0	0.000E+0	3.772E-2
-1.600E+2	-3.800E+0	0.000E+0	3.635E-2
-1.600E+2	-3.700E+0	0.000E+0	2.238E-2
-1.600E+2	-3.600E+0	0.000E+0	2.569E-2
-1.600E+2	-3.500E+0	0.000E+0	2.548E-2
-1.600E+2	-3.400E+0	0.000E+0	3.233E-2
-1.600E+2	-3.300E+0	0.000E+0	2.499E-2
-1.600E+2	-3.200E+0	0.000E+0	2.157E-2
-1.600E+2	-3.100E+0	0.000E+0	2.568E-2
-1.600E+2	-3.000E+0	0.000E+0	2.995E-2
-1.600E+2	-2.900E+0	0.000E+0	3.610E-2
-1.600E+2	-2.800E+0	0.000E+0	4.142E-2
-1.600E+2	-2.700E+0	0.000E+0	4.364E-2
-1.600E+2	-2.600E+0	0.000E+0	4.226E-2
-1.600E+2	-2.500E+0	0.000E+0	4.158E-2
-1.600E+2	-2.400E+0	0.000E+0	4.602E-2
-1.600E+2	-2.300E+0	0.000E+0	5.366E-2
-1.600E+2	-2.200E+0	0.000E+0	6.277E-2
-1.600E+2	-2.100E+0	0.000E+0	6.948E-2
-1.600E+2	-2.000E+0	0.000E+0	6.868E-2
-1.600E+2	-1.900E+0	0.000E+0	6.846E-2
-1.600E+2	-1.800E+0	0.000E+0	7.145E-2
-1.600E+2	-1.700E+0	0.000E+0	7.392E-2
-1.600E+2	-1.600E+0	0.000E+0	8.157E-2
-1.600E+2	-1.500E+0	0.000E+0	8.982E-2
-1.600E+2	-1.400E+0	0.000E+0	9.220E-2
-1.600E+2	-1.300E+0	0.000E+0	9.216E-2
-1.600E+2	-1.200E+0	0.000E+0	9.174E-2
-1.600E+2	-1.100E+0	0.000E+0	8.353E-2
-1.600E+2	-1.000E+0	0.000E+0	7.901E-2
-1.600E+2	-9.000E-1	0.000E+0	8.018E-2
-1.600E+2	-8.000E-1	0.000E+0	8.759E-2
-1.600E+2	-7.000E-1	0.000E+0	9.293E-2
-1.600E+2	-6.000E-1	0.000E+0	1.015E-1
-1.600E+2	-5.000E-1	0.000E+0	1.069E-1
-1.600E+2	-4.000E-1	0.000E+0	1.034E-1
-1.600E+2	-3.000E-1	0.000E+0	9.768E-2
-1.600E+2	-2.000E-1	0.000E+0	9.389E-2
-1.600E+2	-1.000E-1	0.000E+0	8.709E-2
-1.600E+2	0.000E+0	0.000E+0	8.395E-2
-1.600E+2	1.000E-1	0.000E+0	8.511E-2
-1.600E+2	2.000E-1	0.000E+0	8.481E-2
-1.600E+2	3.000E-1	0.000E+0	8.347E-2
-1.600E+2	4.000E-1	0.000E+0	8.042E-2
-1.600E+2	5.000E-1	0.000E+0	7.417E-2
-1.600E+2	6.000E-1	0.000E+0	6.775E-2
-1.600E+2	7.000E-1	0.000E+0	6.409E-2
-1.600E+2	8.000E-1	0.000E+0	5.805E-2
-1.600E+2	9.000E-1	0.000E+0	5.565E-2
-1.600E+2	1.000E+0	0.000E+0	5.448E-2
-1.600E+2	1.100E+0	0.000E+0	5.342E-2
-1.600E+2	1.200E+0	0.000E+0	5.104E-2
-1.600E+2	1.300E+0	0.000E+0	4.999E-2
-1.600E+2	1.400E+0	0.000E+0	4.809E-2
-1.600E+2	1.500E+0	0.000E+0	4.440E-2
-1.600E+2	1.600E+0	0.000E+0	3.803E-2
-1.600E+2	1.700E+0	0.000E+0	4.041E-2
-1.600E+2	1.800E+0	0.000E+0	3.637E-2
-1.600E+2	1.900E+0	0.000E+0	3.515E-2
-1.600E+2	2.000E+0	0.000E+0	3.883E-2
-1.600E+2	2.100E+0	0.000E+0	4.307E-2
-1.600E+2	2.200E+0	0.000E+0	4.736E-2
-1.600E+2	2.300E+0	0.000E+0	4.599E-2
-1.600E+2	2.400E+0	0.000E+0	4.182E-2
-1.600E+2	2.500E+0	0.000E+0	3.825E-2
-1.600E+2	2.600E+0	0.000E+0	3.893E-2
-1.600E+2	2.700E+0	0.000E+0	3.620E-2
-1.600E+2	2.800E+0	0.000E+0	3.364E-2
-1.600E+2	2.900E+0	0.000E+0	3.116E-2
-1.600E+2	3.000E+0	0.000E+0	3.419E-2
-1.600E+2	3.100E+0	0.000E+0	3.181E-2
-1.600E+2	3.200E+0	0.000E+0	2.844E-2
-1.600E+2	3.300E+0	0.000E+0	3.745E-2
-1.600E+2	3.400E+0	0.000E+0	2.695E-2
-1.600E+2	3.500E+0	0.000E+0	2.275E-2
-1.600E+2	3.600E+0	0.000E+0	2.559E-2
-1.600E+2	3.700E+0	0.000E+0	2.776E-2
